순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
44,032640,LG유플러스,"14,550","150","1.0","1,677,884","24,297,522,500","14,400","14,550","14,300","6,352,695,302,550","0.37","436,611,361",,,
45,018880,한온시스템,"11,350","150","1.3","428,059","4,828,891,100","11,250","11,350","11,150","6,058,630,000,000","0.35","533,800,000",,,
46,034220,LG디스플레이,"16,200","100","0.6","1,548,242","25,061,225,550","16,150","16,300","16,000","5,796,614,340,000","0.34","357,815,700",,,
47,267250,현대중공업지주,"355,500","2,000","0.6","34,462","12,209,676,500","356,000","356,000","352,000","5,789,892,343,500","0.34","16,286,617",,,
48,086280,현대글로비스,"148,000","1,500","1.0","64,851","9,560,275,500","147,500","148,000","146,500","5,550,000,000,000","0.32","37,500,000",,,
49,006800,미래에셋대우,"7,740","20","0.3","1,989,472","15,420,702,270","7,760","7,780","7,700","5,095,368,997,920","0.30","658,316,408",,,
50,078930,GS,"52,600","400","0.8","143,081","7,502,097,000","52,500","52,600","51,900","4,887,348,882,800","0.28","92,915,378",,,
51,000720,현대건설,"42,700","150","0.4","327,486","13,997,607,700","42,800","43,100","42,500","4,754,891,165,500","0.28","111,355,765",,,
52,029780,삼성카드,"40,550","-400","-1.0","120,204","4,882,302,500","41,400","41,500","40,400","4,698,078,030,050","0.27","115,858,891",,,
53,010140,삼성중공업,"7,130","20","0.3","2,211,628","15,720,841,370","7,160","7,170","7,070","4,491,900,000,000","0.26","630,000,000",,,
54,028300,에이치엘비,"102,200","3,300","3.3","2,049,835","207,333,541,500","99,000","102,900","98,500","4,367,917,419,600","0.25","42,738,918",,,
55,004020,현대제철,"32,350","500","1.6","438,355","14,147,611,200","32,050","32,400","32,000","4,316,971,144,750","0.25","133,445,785",,,
56,161390,한국타이어앤테크놀로지,"34,400","100","0.3","234,298","8,029,483,950","34,700","34,750","33,850","4,261,302,373,600","0.25","123,875,069",,,
57,271560,오리온,"105,000","2,000","1.9","231,619","24,736,588,500","103,500","109,000","103,500","4,151,293,860,000","0.24","39,536,132",,,
58,004990,롯데지주,"39,050","500","1.3","211,671","8,250,081,050","38,750","39,300","38,450","4,096,705,704,850","0.24","104,909,237",,,
59,088980,맥쿼리인프라,"11,700","0","0.0","770,736","9,053,938,650","11,700","11,800","11,650","4,083,818,731,200","0.24","349,044,336",,,
